1000_GRAIN_WEIGHT,PLANT_HEIGHT,LODGING_PERCENT_HARVESTED_AREA,AGRONOMIC_SCORE,DAYS_TO_HEADING,RELATIVE_MATURITY,LEAF_RUST,STRIPE_RUST_ON_LEAF,SELECTED_CHECK_MARK,STEM_RUST,DAYS_TO_MATURITY,SEPTORIA_SPECIES,TEST_WEIGHT,GRAIN_PROTEIN,GRAIN_SDS_SEDIMENTATION,SEDIMENTATION_INDEX,YELLOW_COLOR_VALUE,FUSARIUM_SPP,OTHER_UNIDENTIFIED_FOLIAR_BLIGHTS,GRAINS_SPIKE,MOISTURE_PERCENTAGE,SPIKE_LENGTH,TILLERS_BY_METER,POWDERY_MILDEW,GLUTEN_CONTENT,GRAIN_YIELD
47.6,96,,,75,,,,,,,,,,,,,,,,,,,,,5
44.9,94,,,74,,,,,,,,,,,,,,,,,,,,,5
34,87,,2,74,,,,,,,,,,,,,,,,,,,,,3
35.3,89,,2,76,,,,,,,,,,,,,,,,,,,,,4
,84,,,60,,0,,,1,102,,,,,,,,,,,,,,,5
30,92,,4,101,,,,,,,,,,,,,,,,,,,,,1
41,90,,3,64,,,,,,,,,,,,,,,,,,,,,3
42,85,,4,64,,,,,,,,,,,,,,,,,,,,,4
38.03,83.2,,,47,,,,,4,,,,,,,,,,,,,,,,4
36.01,82.5,,,48,,,,,,,,,,,,,,,,,,,,,3
59.887,78.33,,3,74,,,,,,,,,,,,,,,,,,,,,2
59.125,80,,3,74,,,,,,,,,,,,,,,,,,,,,2
34.2,78.8,60,4,88,,,,,,122,,,,,,,,9,47,11.3,7,356,,,6
35.2,83,0,4,86,,,,,,123,,,,,,,,9,48,11.4,7,286,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,6
,65,,,,3,,,,,,,,,,,,,,,,,,,,3
,65,,,,3,,,,,,,,,,,,,,,,,,,,4
35.4,,,,70,,,,,,,,78.8,15.1,9,0.59,17.3,,,,,,,,,3
35,,,,70,,,,,,,,76.3,14.4,8,0.55,17.1,,,,,,,,,3
52,,,,75,,,,,,,,82.3,12.3,6.5,0.53,15.2,,,,,,,,,6
53.3,,,,75,,,,,,,,83,12,6.5,0.54,15.8,,,,,,,,,6
,75,,,97,,0,4,,,,,,,,,,,,,,,,,,4
,80,,,96,,30,16,,,,,,,,,,,,,,,,,,6
,90,100,2,129,,,,0,,,,,,,,,,,,,,,,,8
,85,0,3,130,,,,0,,,,,,,,,,,,,,,,,5
39.2,61,30,2,,,,,,,,,,,,,,,,,,,,,,1
40.2,63,30,3,,,,,,,,,,,,,,,,,,,,,,1
38.89,91,80,,171,,60,,,,,1,78.2,,,,,,,,,,,3,,4
,,80,,171,,0.2,,,,,2,,,,,,,,,,,,3,,4
31.8,75,0,3,101,,7,,,,,1,,,,,,0,,,,,,,,4
35.8,80,0,4,100,,17,0,,,,2,,,,,,1,,,,,,,,5
,85,30,,86,,,30,,20,154,,,,,,,,,,,,,,,6
,86,30,,86,,,,,,154,,,,,,,,,,,,,,,6
48.5,75,,5,69,,,,,,,,,,,,,,,,,,,,,5
44.5,80,,5,70,,,,,,,,,,,,,,,,,,,,,5
41.1,92,,1,125,,,,0,,,,,,,,,,,,,,,,,2
39.7,86,,1,127,,,,0,,,,,,,,,,,,,,,,,2
41.1,92,,2,,,,,,,,,,,,,,,,,,,,,,2
36.9,86,,2,,,,,,,,,,,,,,,,,,,,,,2
,90,,,101,,,,,,143,,,,,,,,,,,,,,,3
,95,,,103,,,,,,145,,,,,,,,,,,,,,,6
,95,1,,106,,,,,,,,,,,,,,,,,,,,,6
,95,,,106,,,,,,,,,,,,,,,,,,,,,7
,95,,,98,,,,,,150,,,,,,,,,,,,,,,5
,90,,,98,,,,,,148,,,,,,,,,,,,,,,5
40.1,95,,5,97,,,,,,,,,,,,,,,,,,,,,6
30.3,95,,3,100,,,,,,,,,,,,,,,,,,,,,5
,100,,,91,,,,,,139,,,,,,,,,,,,,,,6
,105,,,90,,,,,,139,,,,,,,,,,,,,,,7
60,87,,,93,,,,,,,,,,,,,,,,,,,,,4
57,82,,,91,,,,,,,,,,,,,,,,,,,,,5
43,90,0,3,68,,,,,,,,,,,,,,,,,,,,,6
,,0,,,,,,,,,,,,,,,,,,,,,,,6
51.2,101,0,4,122,,,,,,165,4,,,,,,,,,,,,,,8
51.6,103,0,3,122,,,,,,164,5,,,,,,,,,,,,,,7
,80,,4,92,,,,,,,,,,,,,,,,,,,,,4
,79.7,,4,92,,,,,,,,,,,,,,,,,,,,,4
,74,,4,123,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,2
52.4,98,,2,177,,,,,,,,,,,,,,,,,,,,,7
,98,,2,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,8,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,7
,93,,,116,,,,,,,,,,,,,,,,,,,,,5
,93,,,115,,,,,,,,,,,,,,,,,,,,,6
49.15,89.4,,,119,,,,,,,,82.2,8.36,,,,,,,,,,,34.8,5
47.05,86.4,,,120,,,,,,,,81.4,7.72,,,,,,,,,,,36.6,7
,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,4
,95,,4,94,,30,,,8,,8.1,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,6
48.7,102,,,110,,,40,,,,,84.4,,,,,,,,,,,,,6
,100,,,118,,,,,,,3,,,,,,,,,,,,,,11
,105,,,118,,,,,,,3,,,,,,,,,,,,,,11
,100,,,118,,,,,,,3,,,,,,,,,,,,,,9
,105,,,118,,,,,,,3,,,,,,,,,,,,,,9
,97,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,8
,97,,,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,10
46,86,,4,81,,,,,,,,,,,,,,,,,,,,,3
42,83,,4,87,,,,,,,,,,,,,,,,,,,,,4
38.4,89,,,120,,,,,,,,,,,,,,,,,,,,,4
,90,,,122,,,,,,,,,,,,,,,,,,,,,5
48.9,97,,,78,,,,,,,,,,,,,,,,,,,,,4
48.5,97,,,77,,,,,,,,,,,,,,,,,,,,,4
42.8,84,,2,86,,,,,,,,,,,,,,,,,,,,,3
44,86,,2,85,,,,,,,,,,,,,,,,,,,,,2
,84,,,78,,0,,,8,115,,,,,,,,,,,,,,,4
40,96,,4,100,,,10,,,,,,,,,,,,,,,,,,3
48,90,,3,70,,,,,,,,,,,,,,,,,,,,,1
43,85,,3,70,,,,,,,,,,,,,,,,,,,,,3
43.06,91,,,50,,,,,8,,,,,,,,,,,,,,,,4
39.94,90.3,,,48,,,,,,,,,,,,,,,,,,,,,4
65.091,88.33,,3,75,,,,,,,,,,,,,,,,,,,,,2
64.741,83.33,,3,75,,,,,,,,,,,,,,,,,,,,,2
31.3,83.2,40,4,88,,,,,,123,,,,,,,,9,55,12.1,6.4,328,,,5
41.4,82.8,20,5,88,,,,,,123,,,,,,,,9,50,11.4,7.4,338,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,5
,65,,,,4,,,,,,,,,,,,,,,,,,,,3
,65,,,,3,,,,,,,,,,,,,,,,,,,,3
42,,,,74,,,,,,,,78.8,14.9,9,0.6,16.1,,,,,,,,,3
40.6,,,,73,,,,,,,,79.1,15.4,9,0.59,15.8,,,,,,,,,3
59.2,,,,74,,,,,,,,80.5,12.4,7,0.57,13.8,,,,,,,,,6
60.6,,,,75,,,,,,,,80.9,12.6,7,0.55,14.3,,,,,,,,,5
,70,,,93,,1,24,,,,,,,,,,,,,,,,,,3
,80,,,93,,10,16,,,,,,,,,,,,,,,,,,4
,86,0,3,129,,,,0,,,,,,,,,,,,,,,,,6
,80,0,3,133,,,,0,,,,,,,,,,,,,,,,,6
38.4,61,30,2,,,,,,,,,,,,,,,,,,,,,,1
37.1,58,30,3,,,,,,,,,,,,,,,,,,,,,,1
39.4,96,100,,170,,60,,,,,1,76.3,,,,,,,,,,,3,,7
,,100,,171,,0.2,,,,,1,,,,,,,,,,,,2,,7
35.8,71,0,3,100,,1,,,,,1,,,,,,10,,,,,,,,4
36.4,74,0,4,100,,10,,,,,1,,,,,,7,,,,,,,,4
,85,30,,83,,,40,,,153,,,,,,,,,,,,,,,5
,75,30,,84,,,,,,153,,,,,,,,,,,,,,,5
48.5,76,,5,69,,,,,,,,,,,,,,,,,,,,,3
44,85,,5,70,,,,,,,,,,,,,,,,,,,,,4
43.2,94,,2,127,,,,0,,,,,,,,,,,,,,,,,2
39.6,81,,2,126,,,,0,,,,,,,,,,,,,,,,,2
42.2,90,,2,,,,,,,,,,,,,,,,,,,,,,2
39.6,81,,2,,,,,,,,,,,,,,,,,,,,,,2
,95,,,93,,,,,,141,,,,,,,,,,,,,,,6
,100,,,92,,,,,,142,,,,,,,,,,,,,,,6
,110,,,99,,,,,,,,,,,,,,,,,,,,,6
,110,,,104,,,,,,,,,,,,,,,,,,,,,7
,105,,,94,,,,,,144,,,,,,,,,,,,,,,7
,100,,,97,,,,,,145,,,,,,,,,,,,,,,7
40.6,105,,5,88,,,,,,,,,,,,,,,,,,,,,6
39.1,90,,3,90,,,,,,,,,,,,,,,,,,,,,5
,115,,,88,,,,,,140,,,,,,,,,,,,,,,7
,115,,,89,,,,,,138,,,,,,,,,,,,,,,8
46,83,,,91,,,,,,,,,,,,,,,,,,,,,1
57,85,,,91,,,,,,,,,,,,,,,,,,,,,3
38,90,0,4,68,,,,,,,,,,,,,,,,,,,,,7
,,0,,,,,,,,,,,,,,,,,,,,,,,7
45.6,97,50,3,120,,,,,,161,6,,,,,,,,,,,,,,6
46.4,95,70,2,122,,,,,,160,6,,,,,,,,,,,,,,5
,84,,5,87,,,,,,,,,,,,,,,,,,,,,5
,89.3,,5,87,,,,,,,,,,,,,,,,,,,,,4
,76,,4,122,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,1
47.2,110,,3,177,,,,,,,,,,,,,,,,,,,,,8
,108,,3,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,9
,96,,,115,,,,,,,,,,,,,,,,,,,,,6
,94,,,116,,,,,,,,,,,,,,,,,,,,,7
39,86.5,,,119,,,,,,,,78.2,10.23,,,,,,,,,,,34.6,5
36.7,81.2,,,118,,,,,,,,79.4,10.11,,,,,,,,,,,37.8,6
,107,,4,94,,,16,,,,8.2,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,6
43.3,105,,,112,,,10,,,,,81.4,,,,,,,,,,,,,6
,105,,,123,,,,,,,,,,,,,,,,,,,,,9
,110,,,123,,,,,,,,,,,,,,,,,,,,,9
,105,,,123,,,,,,,,,,,,,,,,,,,,,8
,110,,,123,,,,,,,,,,,,,,,,,,,,,8
,100,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,12
,100,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,9
40,81,,4,67,,,,,,,,,,,,,,,,,,,,,3
42,85,,3,64,,,,,,,,,,,,,,,,,,,,,3
49.9,81,,,121,,,,,,,,,,,,,,,,,,,,,5
,91,,,124,,,,,,,,,,,,,,,,,,,,,9
51.4,83,,5,68,,,,,,,,,,,,,,,,,,,,,5
47.6,91,,,68,,,,,,,,,,,,,,,,,,,,,6
53.5,79,,4,66,,,,,,,,,,,,,,,,,,,,,5
54.8,79,,4,66,,,,,,,,,,,,,,,,,,,,,6
,83,,,60,,0,,,10,102,,,,,,,,,,,,,,,4
38,82,,3,102,,,0.2,,,,,,,,,,,,,,,,,,3
43,95,,4,62,,,,,,,,,,,,,,,,,,,,,6
40,95,,4,62,,,,,,,,,,,,,,,,,,,,,4
40.75,91.6,,,46,,,,,4,,,,,,,,,,,,,,,,4
37.61,90.9,,,48,,,,,,,,,,,,,,,,,,,,,4
62.714,83.33,,5,78,,,,,,,,,,,,,,,,,,,,,4
63.12,83.33,,5,78,,,,,,,,,,,,,,,,,,,,,5
35.5,85.6,20,4,86,,,,,,122,,,,,,,,9,59,12.5,7.6,348,,,5
42,85,0,4,88,,,,,,124,,,,,,,,9,10,11.8,7.2,322,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,4
37,85,,,,3,,,,,,,,,,,,,,,,,,,,4
,75,,,,4,,,,,,,,,,,,,,,,,,,,4
36.4,,,,74,,,,,,,,78.1,13.9,9,0.65,17.2,,,,,,,,,4
40,,,,74,,,,,,,,79.5,15.8,10.5,0.67,16.6,,,,,,,,,3
60,,,,78,,,,,,,,81.4,12.1,8.5,0.7,14.5,,,,,,,,,7
58.6,,,,76,,,,,,,,80.7,12.1,8.5,0.7,14,,,,,,,,,5
,75,,,100,,0,8,,,,,,,,,,,,,,,,,,5
,70,,,98,,0,0,,,,,,,,,,,,,,,,,,4
,99,0,4,141,,,,0,,,,,,,,,,,,,,,,,8
,99,0,4,141,,,,0,,,,,,,,,,,,,,,,,8
40.4,101,30,3,,,,,,,,,,,,,,,,,,,,,,1
41.2,107,30,3,,,,,,,,,,,,,,,,,,,,,,1
36.81,83,60,,172,,60,,,,,1,79.4,,,,,,,,,,,3,,7
,,80,,173,,0.2,,,,,2,,,,,,,,,,,,3,,8
41.4,74,0,3,101,,1,,,,,2,,,,,,0,,,,,,,,3
42.7,81,0,4,101,,1,,,,,1,,,,,,1,,,,,,,,5
,90,40,,87,,,10,,40,154,,,,,,,,,,,,,,,5
,90,30,,86,,,,,,154,,,,,,,,,,,,,,,5
42,80,,5,70,,,,,,,,,,,,,,,,,,,,,3
46.5,76,,5,71,,,,,,,,,,,,,,,,,,,,,2
44.2,96,,3,129,,,,0,,,,,,,,,,,,,,,,,2
40.5,88,,2,129,,,,0,,,,,,,,,,,,,,,,,2
44.2,95,,3,,,,,,,,,,,,,,,,,,,,,,2
39.5,88,,2,,,,,,,,,,,,,,,,,,,,,,2
,98,,,102,,,,,,143,,,,,,,,,,,,,,,5
,105,,,105,,,,,,149,,,,,,,,,,,,,,,8
,100,,,103,,,,,,,,,,,,,,,,,,,,,9
,100,,,100,,,,,,,,,,,,,,,,,,,,,7
,100,,,100,,,,,,153,,,,,,,,,,,,,,,7
,95,,,107,,,,,,153,,,,,,,,,,,,,,,7
32.8,105,,5,108,,,,,,,,,,,,,,,,,,,,,7
33.7,100,,3,105,,,,,,,,,,,,,,,,,,,,,5
,110,,,92,,,,,,140,,,,,,,,,,,,,,,7
,115,,,93,,,,,,140,,,,,,,,,,,,,,,8
57,86,,,93,,,,,,,,,,,,,,,,,,,,,5
52,75,,,80,,,,,,,,,,,,,,,,,,,,,4
42,90,10,2,67,,,,,,,,,,,,,,,,,,,,,6
,,0,,,,,,,,,,,,,,,,,,,,,,,6
49.2,108,0,4,123,,,,,,165,4,,,,,,,,,,,,,,7
51.6,109,0,3,122,,,,,,162,5,,,,,,,,,,,,,,6
,82.7,,4,97,,,,,,,,,,,,,,,,,,,,,4
,83,,4,97,,,,,,,,,,,,,,,,,,,,,4
,73,,4,124,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,2
46.4,105,,2,178,,,,,,,,,,,,,,,,,,,,,7
,103,,2,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,0.8,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,9
,97,,,119,,,,,,,,,,,,,,,,,,,,,5
,100,,,116,,,,,,,,,,,,,,,,,,,,,6
43.6,76.6,,,119,,,,,,,,78.9,8.16,,,,,,,,,,,34.2,8
42.2,71.8,,,118,,,,,,,,79.3,9.01,,,,,,,,,,,33,6
,98,,5,94,,,4,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,7
45.2,100,,,110,,,40,,,,,84.8,,,,,,,,,,,,,4
,103,,,122,,,24,,,,,,,,,,,,,,,,,,9
,115,,,122,,,24,,,,,,,,,,,,,,,,,,9
,103,,,122,,,24,,,,,,,,,,,,,,,,,,11
,115,,,122,,,24,,,,,,,,,,,,,,,,,,11
,100,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,12
,100,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,9
39,97,,4,79,,,,,,,,,,,,,,,,,,,,,3
38,89,,3,78,,,,,,,,,,,,,,,,,,,,,3
40.3,91,,,117,,,,,,,,,,,,,,,,,,,,,5
,91,5,,122,,,,,,,,,,,,,,,,,,,,,4
43.5,99,,,79,,,,,,,,,,,,,,,,,,,,,4
36.3,96,,,78,,,,,,,,,,,,,,,,,,,,,5
32.3,92,,4,79,,,,,,,,,,,,,,,,,,,,,3
31.8,97,,4,78,,,,,,,,,,,,,,,,,,,,,4
,86,,,66,,0,,,10,108,,,,,,,,,,,,,,,5
37,93,,3,103,,,5,,,,,,,,,,,,,,,,,,2
40,95,,3,64,,,,,,,,,,,,,,,,,,,,,4
43,100,,3,67,,,,,,,,,,,,,,,,,,,,,4
42.86,91.2,,,48,,,,,8,,,,,,,,,,,,,,,,3
50.77,90.3,,,50,,,,,,,,,,,,,,,,,,,,,4
61.039,83.33,,3,74,,,,,,,,,,,,,,,,,,,,,2
59.546,81.67,,3,74,,,,,,,,,,,,,,,,,,,,,2
36.7,87.8,20,4,88,,,,,,124,,,,,,,,8,53,11.1,7.2,408,,,5
35.5,88,40,4,89,,,,,,124,,,,,,,,8,46,11.5,7.2,304,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,5
,65,,,,4,,,,,,,,,,,,,,,,,,,,3
,65,,,,4,,,,,,,,,,,,,,,,,,,,3
38.5,,,,73,,,,,,,,80.9,15.5,8,0.52,16,,,,,,,,,3
39,,,,74,,,,,,,,81.4,15.9,9,0.57,16.6,,,,,,,,,3
50.2,,,,74,,,,,,,,82.8,12.2,7,0.57,14.3,,,,,,,,,7
52.1,,,,73,,,,,,,,82.5,12.2,7,0.58,14.5,,,,,,,,,8
,70,,,96,,0,8,,,,,,,,,,,,,,,,,,3
,70,,,96,,0,30,,,,,,,,,,,,,,,,,,3
,88,0,3,129,,,,0,,,,,,,,,,,,,,,,,7
